id,name,team,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37,GW 38
342,Aké,Man City,5.0,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.1,0.0,5.1,5.1,5.0,5.0,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,5.0
343,J.Alvarez,Man City,6.5,6.5,6.6,6.6,6.7,6.9,7.0,7.0,7.1,7.1,7.2,7.2,7.1,7.0,7.0,7.0,6.9,0.0,6.8,6.9,7.0,7.0,6.9,6.8,6.7,6.7,6.6,6.5,0.0,6.5,6.4,6.4,6.4,7.400000095367432,7.5,7.300000190734863,7.5,7.400000095367432
344,Bernardo,Man City,6.5,6.5,6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,0.0,6.4,6.5,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.2,0.0,6.2,6.2,6.2,6.2,5.5,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432
345,Bobb,Man City,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,4.900000095367432,4.900000095367432,4.800000190734863,4.800000190734863,4.900000095367432
347,Carson,Man City,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0.0,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,0.0,3.8,3.8,3.8,3.8,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316,3.9000000953674316
349,De Bruyne,Man City,10.5,10.4,10.3,10.3,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,0.0,10.2,10.2,10.3,10.6,10.7,10.8,10.8,10.8,10.7,10.6,0.0,10.4,10.4,10.3,10.4,7.099999904632568,8.0,7.599999904632568,7.199999809265137,7.699999809265137
350,Rúben,Man City,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,4.699999809265137,4.400000095367432,4.699999809265137,4.400000095367432,4.5
352,Ederson M.,Man City,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,4.800000190734863,4.800000190734863,4.599999904632568,4.599999904632568,4.800000190734863
353,Foden,Man City,7.5,7.5,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.6,7.6,0.0,7.6,7.7,7.9,8.0,7.9,8.0,8.0,8.1,8.1,8.2,0.0,8.1,8.1,8.2,8.3,9.300000190734863,8.199999809265137,7.199999809265137,8.5,7.400000095367432
354,Grealish,Man City,7.5,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.2,0.0,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0.0,7.2,7.2,7.2,7.2,5.099999904632568,5.0,4.900000095367432,4.900000095367432,4.900000095367432
355,Haaland,Man City,14.0,14.0,14.0,14.0,14.1,14.1,14.1,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,13.9,13.9,13.9,13.9,14.1,14.3,14.4,14.4,14.5,14.4,0.0,14.3,14.3,14.3,14.3,10.5,10.199999809265137,10.899999618530273,10.600000381469727,10.899999618530273
356,Kovačić,Man City,5.0,5.0,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.7,4.7,4.7,4.7,0.0,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,0.0,4.6,4.6,4.6,4.6,5.0,4.900000095367432,4.900000095367432,4.800000190734863,4.900000095367432
358,R.Lewis,Man City,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,0.0,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,4.400000095367432,4.699999809265137,4.300000190734863,4.300000190734863,4.300000190734863
