web_name,element_type,team_code_code,team_code_code,name
Miley,3,4,,
Diallo,3,4,,
Parkinson,4,4,,
Ndiweni,4,4,,
White,3,4,,
Hernes,3,4,,
Tavares,2,17,,
Turner,1,17,,
Hudson-Odoi,3,17,,
Elanga,3,17,,
B.Aguilera,3,17,,
Arter,3,17,,
Aurier,2,17,,
Awoniyi,4,17,,
Biancone,2,17,,
Boly,2,17,,
Bowler,3,17,,
Cook,2,17,,
Danilo,3,17,,
Dennis,4,17,,
Dräger,2,17,,
Felipe,2,17,,
Freuler,3,17,,
Gibbs-White,3,17,,
Hennessey,1,17,,
Horvath,1,17,,
Kouyaté,3,17,,
Laryea,2,17,,
Mangala,3,17,,
Mbe Soh,2,17,,
McKenna,2,17,,
Mighten,3,17,,
Niakhaté,2,17,,
O'Brien,3,17,,
Ojeda,3,17,,
Panzo,2,17,,
O.Richards,2,17,,
G.Scarpa,3,17,,
J.Shelvey,3,17,,
Surridge,4,17,,
Toffolo,2,17,,
Ui-jo,4,17,,
Williams,2,17,,
Wood,4,17,,
Worrall,2,17,,
Yates,3,17,,
Aina,2,17,,
G.Shelvey,1,17,,
Powell,2,17,,
G.Montiel,2,17,,
Murillo,2,17,,
Odysseas,1,17,,
Omobamidele,2,17,,
Dominguez,3,17,,
Sangaré,3,17,,
Origi,4,17,,
McDonnell,3,17,,
Osong,4,17,,
Gardner,4,17,,
Reyna,3,17,,
Sels,1,17,,
Ribeiro,4,17,,
Trusty,2,49,,
Archer,4,49,,
Holgate,2,49,,
McAtee,3,49,,
Ahmedhodžić,2,49,,
Amissah,1,49,,
Baldock,2,49,,
Basham,2,49,,
Bogle,2,49,,
Brewster,4,49,,
Coulibaly,3,49,,
A.Davies,1,49,,
Egan,2,49,,
Fleck,3,49,,
Foderingham,1,49,,
Jebbison,4,49,,
Lowe,2,49,,
McBurnie,4,49,,
Ndiaye,4,49,,
Norrington-Davies,2,49,,
Norwood,3,49,,
Osborn,3,49,,
Osula,4,49,,
Robinson,2,49,,
